	I	pval_norm	var_norm	pval_z_sim	pval_sim	var_sim	pval_norm_fdr_bh	pval_z_sim_fdr_bh	pval_sim_fdr_bh
LDLR	0.027377224510499412	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.3411556240931944e-07	0.0	0.0	0.010445117787640833
MGP	0.026611864416762884	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.6937340658530245e-07	0.0	0.0	0.010445117787640833
ACTA2	0.026110268842680008	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.3930854749762322e-07	0.0	0.0	0.010445117787640833
MYH11	0.026073964278199333	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.8361174014364996e-07	0.0	0.0	0.010445117787640833
TPM2	0.025693812096579775	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.681415513625093e-07	0.0	0.0	0.010445117787640833
HLA-DPA1	0.025481037752842255	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.3920602974397245e-07	0.0	0.0	0.010445117787640833
H4C3	0.02533123388217262	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.6514119747216172e-07	0.0	0.0	0.010445117787640833
CD63	0.025274441039425204	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.7563538938710007e-07	0.0	0.0	0.010445117787640833
CXCL16	0.02509782577309005	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.2882942624952992e-07	0.0	0.0	0.010445117787640833
CTNNB1	0.02496269644239374	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.7624681488569904e-07	0.0	0.0	0.010445117787640833
EPHA2	0.024757683700187143	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.8776297054443504e-07	0.0	0.0	0.010445117787640833
IGHM	0.024459849796420883	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.7224318075703692e-07	0.0	0.0	0.010445117787640833
STAT1	0.024445506084684057	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.858199708043087e-07	0.0	0.0	0.010445117787640833
IL6ST	0.02421362500155836	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.4274395390053535e-07	0.0	0.0	0.010445117787640833
TPSAB1	0.02395383951491874	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.6264993463048973e-07	0.0	0.0	0.010445117787640833
IFNGR1	0.023922751536001464	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.3037137963382601e-07	0.0	0.0	0.010445117787640833
FCGBP	0.023667626536762642	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.5050001857745647e-07	0.0	0.0	0.010445117787640833
CXCL10	0.023441950955954437	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.704792915674985e-07	0.0	0.0	0.010445117787640833
HSP90B1	0.023422755929373144	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.400034983283319e-07	0.0	0.0	0.010445117787640833
KRT14	0.023009136621084073	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.2946219393776697e-07	0.0	0.0	0.010445117787640833
CYSTM1	0.022262412327083474	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.6601605328208214e-07	0.0	0.0	0.010445117787640833
